family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
deterministic_path,compact10_plus_top_21,1.595000,1.595,21,31,2,True,-7.997527108988775,7.515881250697021e-10,-7.998002039295045,0.00047493030626988286,True,True,True
deterministic_path,compact10_plus_top_21,2.500000,2.5,21,31,2,True,-7.9671616342226175,3.604307963200881e-10,-7.9690746235741745,0.0019129893515570373,False,False,True
deterministic_path,compact10_plus_top_21,3.000000,3.0,21,31,2,True,-7.944842181961001,3.107558654846798e-11,-7.949505082865738,0.004662900904736311,False,False,True
deterministic_path,compact10_plus_top_22,1.595000,1.595,22,32,2,True,-7.997529026914018,4.298854605622182e-10,-7.998002039295045,0.0004730123810272602,True,True,True
deterministic_path,compact10_plus_top_22,2.500000,2.5,22,32,2,True,-7.9672085199627665,2.97921687320013e-11,-7.9690746235741745,0.0018661036114080432,False,False,True
deterministic_path,compact10_plus_top_22,3.000000,3.0,22,32,2,True,-7.944846030730112,4.239550932538805e-10,-7.949505082865738,0.004659052135625785,False,False,True
deterministic_path,compact10_plus_top_23,1.595000,1.595,23,33,2,True,-7.997531441014964,1.375717317841918e-10,-7.998002039295045,0.0004705982800814468,True,True,True
deterministic_path,compact10_plus_top_23,2.500000,2.5,23,33,2,True,-7.967212497431106,8.544542851041115e-11,-7.9690746235741745,0.0018621261430684655,False,False,True
deterministic_path,compact10_plus_top_23,3.000000,3.0,23,33,2,True,-7.944851553220072,3.851141627819743e-11,-7.949505082865738,0.004653529645665344,False,False,True
deterministic_path,compact10_plus_top_24,1.595000,1.595,24,34,2,True,-7.997533824330683,8.207123869397037e-11,-7.998002039295045,0.0004682149643624456,True,True,True
deterministic_path,compact10_plus_top_24,2.500000,2.5,24,34,2,True,-7.96721644513841,1.4417000926414403e-10,-7.9690746235741745,0.0018581784357643016,False,False,True
